2025-02-19 12:36:57,435 INFO    MainThread:4431 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-02-19 12:36:57,435 INFO    MainThread:4431 [wandb_init.py:_pause_backend():554] pausing backend
2025-02-19 12:36:57,474 INFO    MainThread:4431 [wandb_init.py:_resume_backend():559] resuming backend
2025-02-19 12:36:57,476 INFO    MainThread:4431 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-02-19 12:36:57,476 INFO    MainThread:4431 [wandb_init.py:_pause_backend():554] pausing backend
2025-02-19 12:37:00,763 INFO    MainThread:4431 [wandb_init.py:_resume_backend():559] resuming backend
2025-02-19 12:37:00,844 INFO    MainThread:4431 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-02-19 12:37:00,844 INFO    MainThread:4431 [wandb_init.py:_pause_backend():554] pausing backend
2025-02-19 12:38:58,069 INFO    MainThread:4431 [wandb_init.py:_resume_backend():559] resuming backend
2025-02-19 12:38:58,072 INFO    MainThread:4431 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-02-19 12:38:58,072 INFO    MainThread:4431 [wandb_init.py:_pause_backend():554] pausing backend
2025-02-19 12:38:58,157 INFO    MainThread:4431 [wandb_init.py:_resume_backend():559] resuming backend
2025-02-19 12:38:58,160 INFO    MainThread:4431 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-02-19 12:38:58,160 INFO    MainThread:4431 [wandb_init.py:_pause_backend():554] pausing backend
2025-02-19 12:38:58,305 INFO    MainThread:4431 [wandb_init.py:_resume_backend():559] resuming backend
2025-02-19 12:38:58,307 INFO    MainThread:4431 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-02-19 12:38:58,307 INFO    MainThread:4431 [wandb_init.py:_pause_backend():554] pausing backend
2025-02-19 12:38:58,359 INFO    MainThread:4431 [wandb_init.py:_resume_backend():559] resuming backend
2025-02-19 12:38:58,361 INFO    MainThread:4431 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-02-19 12:38:58,361 INFO    MainThread:4431 [wandb_init.py:_pause_backend():554] pausing backend
2025-02-19 12:39:00,560 INFO    MainThread:4431 [wandb_init.py:_resume_backend():559] resuming backend
2025-02-19 12:39:00,665 INFO    MainThread:4431 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-02-19 12:39:00,665 INFO    MainThread:4431 [wandb_init.py:_pause_backend():554] pausing backend
2025-02-19 12:39:34,792 INFO    MainThread:4431 [wandb_init.py:_resume_backend():559] resuming backend
2025-02-19 12:39:34,795 INFO    MainThread:4431 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-02-19 12:39:34,795 INFO    MainThread:4431 [wandb_init.py:_pause_backend():554] pausing backend
2025-02-19 12:39:54,493 INFO    MainThread:4431 [wandb_init.py:_resume_backend():559] resuming backend
2025-02-19 12:39:54,496 INFO    MainThread:4431 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-02-19 12:39:54,496 INFO    MainThread:4431 [wandb_init.py:_pause_backend():554] pausing backend
2025-02-19 12:39:54,573 INFO    MainThread:4431 [wandb_init.py:_resume_backend():559] resuming backend
2025-02-19 12:39:54,577 INFO    MainThread:4431 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-02-19 12:39:54,577 INFO    MainThread:4431 [wandb_init.py:_pause_backend():554] pausing backend
2025-02-19 12:39:54,705 INFO    MainThread:4431 [wandb_init.py:_resume_backend():559] resuming backend
2025-02-19 12:39:54,709 INFO    MainThread:4431 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-02-19 12:39:54,709 INFO    MainThread:4431 [wandb_init.py:_pause_backend():554] pausing backend
2025-02-19 12:39:56,016 INFO    MainThread:4431 [wandb_init.py:_resume_backend():559] resuming backend
2025-02-19 12:39:56,020 INFO    MainThread:4431 [jupyter.py:save_ipynb():386] not saving jupyter notebook
2025-02-19 12:39:56,020 INFO    MainThread:4431 [wandb_init.py:_pause_backend():554] pausing backend
